1898263039	2053141488,1531528938
2786909207	2562972486,1982585022,2076485783,2057027761,2335335869,2002343893,1523142422,2065476128,2012491351,1995049395
2810479455	2582743722,2157826563,2043182541,2103537066,2132072524,2565106257,2100438617,136174036,2126311658,2140539195,2117063635,1571154989,2104849640,2766185837,2599820605,1845062057,1986454681,2113741278,2136817255,1510052597,1934021597,836369787,2158873045,1480376833,2094365833,2541084906,1746819321,2163286960,2045656233,2103446957,2763315906
2588833536	2026109488,2052156468,2594004064,2059835624,2001092647,2212149390
2898355293	2094611044,2344442109,2791252401,2145364632,2180314974,2083846704,2802273135,2144130069,1973567506,2592330938,2019736087,2031157165
2460924705	2400290666,1968884542,2096144557,1540186771,2161094964,1988837369,2227193039,203523988,2084056186,2100795197,2472217706,158224150,2204231772,2016847269,2088928566,2079372645,2782156792,2088772137,2065822700,2279259704,2171939244,2009252493,2049335485,2034216626,2145768478,1635088340,1971859953,2155441721
2895398349	2738926439,2026365342,2766714581,2479041172,2019569173,607535336,1606155389,1975523608,2032316144,2072643460,104184427,2768923100,2136973752,1519422254,114517082,1988720110,1980855124,2298465274,2030580548,657980788,2056390735,2893454762,2792787967,2795434836,2122287830,2532244855,2090427126,1970033879,2103559027,2528062157,2076818754,1953633682,90487562,2116040950,2616184872,2602181673,1971042117,843068708,2510632018,1487586009
2064091061	2067245746,2166158694,2122642644,2008137742,2089179315,2043106970,1972562315,2044409313
2070924680	1981303086,1970439325
2287031979	2489886790,2016453721,1981203901,2117676143,2101403221,2100231778,2103956991,1631356911,1990514347,2227200015,2002372750,1871899311,2174510006,118877790,2015811642,2051446825,2213534611,1492999010,1981783889,199424061,2087352629,2031056773,2168676717,2179731956
2001522789	2086683489
2892260873	2554314924,2581637843,2133564696,2605246398,1958706068,1518951372,2399880602,2341401723,2530647954,2581377246,2807880213,889023230,2183341477,2557436004,2771740485,2525778437,2577366047,1895577753,1821462560,1591706642,2432004435,2181504572,2615146352,2734443755
2037995748	2053907802,2026706029,2041804366,2096475520,2036585588,1975741267,2039499698,2166014179,2177955044
2581453540	2325944391,2010004274,2046314964,2140756273,1974874951,2066008754,2144893575,2156278460,1995730663,2125304058,2018622616,2115928493,2416275521,2025983591,2029052599,2080382112,2011343696,2056276487,2014050554,2021521837,2123138904,2096814476,2100608058,2166905169,1551404386,1963596092,2005474992,2094223039,2157362913,2058742375,2010025771,2092006899,2056651346,1966593574,2416458709,2067887297,2521092641,2059168883,1972595484,2127362915,1992945955,2142672816,2254142527,2056760934,1969460352,2097231502,1995924392,2148349600,1999824974
